,prdtypecode
23058,10
27852,10
7900,10
47827,40
72867,40
80085,40
61188,50
23517,50
39280,50
68555,60
22999,60
80141,60
38348,1140
12300,1140
66317,1140
59044,1160
84701,1160
20688,1160
37483,1180
78730,1180
28526,1180
36293,1280
27801,1280
54726,1280
59745,1281
66480,1281
8139,1281
46418,1300
19935,1300
63386,1300
78190,1301
25438,1301
79488,1301
30599,1302
17682,1302
74237,1302
17564,1320
22758,1320
15064,1320
67965,1560
15200,1560
76612,1560
46059,1920
26591,1920
68525,1920
72631,1940
60506,1940
31235,1940
69831,2060
66376,2060
29890,2060
16985,2220
54610,2220
64968,2220
62791,2280
34624,2280
29549,2280
44356,2403
25016,2403
21470,2403
16872,2462
83540,2462
40065,2462
83947,2522
76300,2522
65102,2522
31613,2582
7360,2582
9656,2582
49719,2583
79409,2583
14918,2583
58852,2585
16981,2585
18361,2585
14770,2705
57018,2705
22531,2705
49928,2905
14354,2905
18622,2905
